family,student,grade,scholarship,member,raiseright,tuition assts,worker discount,miscellaneous
Family A,Student A1,8,,x,846.51,,,
,Student A2,4,,x,,,,
,Student A3,2,,x,,,,
Family B,Student B1,6,,,,,,
Family C,Student C1,5,2394,,211.78,,,
,Student C2,2,,,,,,
Family D,Student D1,8,,,,,,
Family E,Student E1,3,,x,,,,
,Student E2,1,,x,,,,
Family F,Student F1,6,,x,,,,
Family G,Student G1,2,,,,,,
Family H,Student H1,8,,x,,,,
,Student H2,5,,x,,,,
Family I,Student I1,6,,x,7.31,3000,,
,Student I2,2,,x,,,,
Family J,Student J1,6,,x,,,,
,Student J2,2,,x,,,,
Family K,Student K1,6,,x,223.54,,,
Family L,Student L1,6,,x,,1000,,
Family M,Student M1,6,,x,10.23,,,
Family N,Student N1,7,,,,6000,,
,Student N2,4,,,,,,
,Student N3,2,,,,,,
Family O,Student O1,K,,,,750,,
Family P,Student P1,6,,x,339.77,,,
,Student P2,4,,x,,,,
,Student P3,K,,x,,,,
Family Q,Student Q1,K,,,,,,
Family R,Student R1,7,,,,,,
Family S,Student S1,3,,x,,,,
Family T,Student T1,4,,,,,,
,Student T2,8,,,,,,
Family U,Student U1,4,,,,,,
Family V,Student V1,5,,x,,,,
Family W,Student W1,1,,,,,,
Family X,Student X1,7,,x,,,,
Family Y,Student Y1,7,,x,97.5,2596,,
Family Z,Student Z1,7,,,363.94,,,
,Student Z2,3,,,,,,
Family AA,Student AA1,4,,,,,,
,Student AA2,2,,,,,,
Family AB,Student AB1,5,,,495.68,,,
,Student AB2,2,,,,,,
Family AC,Student AC1,5,,x,32.15,,,
,Student AC2,K,,x,,,,
Family AD,Student AD1,1,,,,,,
Family AE,Student AE1,4,,,204.6,4000,,
,Student AE2,2,,,,,,
Family AF,Student AF1,1,,x,,750,,
Family AG,Student AG1,4,,,,,,
Family AH,Student AH1,5,,x,,,,
,Student AH2,2,,x,,,,
Family AI,Student AI1,7,,,,,,
Family AJ,Student AJ1,8,,x,,,,
,Student AJ2,4,,x,,,,
Family AK,Student AK1,5,,,,,,
,Student AK2,2,,,,,,
Family AL,Student AL1,7,,,,,,
Family AM,Student AM1,4,,,279.78,,,
,Student AM2,2,,,,,,
Family AN,Student AN1,6,,x,28.5,1250,,
Family AO,Student AO1,7,2394,,,,,
Family AP,Student AP1,3,,,149.99,,,
Family AQ,Student AQ1,5,,,55.5,,,
,Student AQ2,3,,,,,,
Family AR,Student AR1,6,,x,,,,
,Student AR2,3,,x,,,,
Family AS,Student AS1,4,,x,,,,
,Student AS2,4,,x,,,,
Family AT,Student AT1,7,,x,,750,,
Family AU,Student AU1,5,,,221.6,,,
Family AV,Student AV1,5,,,127.94,,,
Family AW,Student AW1,2,,,,,,
Family AX,Student AX1,3,,,,,,
,Student AX2,6,,,,,,
Family AY,Student AY1,5,,x,1851.55,,,
,Student AY2,2,,x,,,,
Family AZ,Student AZ1,7,,x,253.9,,,
,Student AZ2,4,,x,,,,
Family BA,Student BA1,K,,,,,,
Family BB,Student BB1,5,,,,4500,,
Family BC,Student BC1,7,,x,,1000,,
,Student BC2,5,,x,,,,
Family BD,Student BD1,1,,,,,,
Family BE,Student BE1,8,,x,,,,
,Student BE2,4,,x,,,,
Family BF,Student BF1,4,,,,2500,,
Family BG,Student BG1,7,,,,,,
,Student BG2,6,,,,,,
Family BH,Student BH1,2,,,,1000,,
Family BI,Student BI1,8,,x,,,,
,Student BI2,2,,x,,,,
Family BJ,Student BJ1,K,,,,2500,,
Family BK,Student BK1,3,,x,,,,
Family BL,Student BL1,8,,x,690.42,2500,,
,Student BL2,5,,x,,,,
Family BM,Student BM1,3,,,,,,
,Student BM2,K,,,,,,
Family BN,Student BN1,4,,,,,,
,Student BN2,4,,,,,,
Family BO,Student BO1,6,,x,,3000,,
,Student BO2,5,,x,,,,
,Student BO3,3,,x,,,,
,Student BO4,K,,x,,,,
